 ,image,tot_root_length,n_primary,tot_prim_length,mean_prim_length,mean_prim_diameter,mean_lat_density,n_laterals,tot_lat_length,mean_lat_length,mean_lat_diameter,mean_lat_angle
177,sim-16-1-0.04-0.2-4-1.2-0.4-4-10.rsml,474.359,7,348,50.185,1.157,0.342,19,116,6.477,0.316,42.993
178,sim-10-4-0.01-0.4-4-1-0.2-3-20.rsml,15493.718,40,3809,95.832,2.19,0.311,545,11380,21.395,1.006,44.505
179,sim-16-1-0.04-0.3-6-0.8-0.2-3-20.rsml,5783.452,16,1639,103.038,1.937,0.217,151,4050,27.383,0.757,28.181
180,sim-16-4-0.04-0.4-6-1.2-0.4-4-20.rsml,64503.75,40,9126,228.602,1.359,0.187,1211,54716,45.714,0.598,43.281
181,sim-10-4-0.01-0.3-4-1-0.3-3-20.rsml,25012.961,40,5473,137.366,2.394,0.308,855,19064,22.828,0.823,43.812
182,sim-10-2.5-0.025-0.3-6-0.8-0.3-2-10.rsml,390.785,15,362,24.606,0.924,0.336,3,20,7.23,0.39,32.705
183,sim-10-4-0.04-0.2-6-1.2-0.4-2-10.rsml,857.594,28,834,30.322,1.165,0,2,8,4.289,0.364,58.18
184,sim-10-2.5-0.04-0.4-6-1.2-0.3-1-10.rsml,414.18,15,368,25.198,0.951,0.386,7,32,5.174,0.457,65.419
185,sim-16-2.5-0.025-0.4-6-1.2-0.3-3-20.rsml,32967.402,40,5778,145.035,1.588,0.207,650,26833,41.794,0.758,48.191
186,sim-16-4-0.025-0.4-4-0.8-0.3-1-10.rsml,1629.1,28,951,34.556,0.855,0.436,61,632,10.845,0.425,33.849
